title,views_on_vd,time_in_minutes
Biden faces criticism over visiting Ukraine instead of Ohio,64000.0,5760
GOP 2024 hopefuls divided over US role in Ukraine war,52000.0,5760
Residents describe what it’s like living in town targeted by Russia,88000.0,5760
Hear a transgender teen's plea to Idaho lawmakers who banned treatment for minors,37000.0,5760
'Ukraine will never be a victory for Russia. Never': Hear Biden's full remarks in Warsaw,247000.0,5760
"Polish teachers, farmers, bankers are joining the military. Here's why",654000.0,5760
Director describes turning Winnie the Pooh into horror version,41000.0,5760
Hear why Ukraine should be more concerned about Russian aggression after Biden's trip,133000.0,5760
Powerful aftershock hits Turkey-Syria border region,153000.0,5760
Biden makes surprise visit to Ukraine,731000.0,5760
‘What does secure mean to you?’: Mayorkas pressed about US-Mexico border,41000.0,5760
Worry spreads about country Putin may target next,751000.0,5760
See the moment a woman escaped from her alleged kidnapper,194000.0,5760
Backlash to Tiger Woods' tampon 'prank' prompts apology,37000.0,5760
US formally accuses Russian forces of crimes against humanity,365000.0,5760
Haberman describes 'striking' claim that stood out to her from court documents,421000.0,5760
5 former police officers charged in Tyre Nichols’ death plead not guilty,123000.0,5760
New surveillance video shows train wheel overheating before crash,87000.0,5760
See question CNN reporter asked Putin ally that made him angry,1000000.0,5760
"Pence vows to fight subpoena in Trump probe, calling it 'unconstitutional'",57000.0,5760
Investigators find note written by Michigan shooter,61000.0,5760
Exclusive: Video shows volunteer medics targeted by Russian missile,189000.0,5760
Alaskan senator weighs in on Chinese spy balloons,26000.0,5760
Journalist reveals Russian tactics after visiting Ukraine front lines,260000.0,5760
Man charges killer in court,608000.0,5760
Fierce fighting rages on front lines in eastern Ukraine,529000.0,5760
'Show up!': Erin Brockovich calls out Biden's EPA for response in Ohio train spills,77000.0,5760
What we know about the Michigan State shooter,329000.0,5760
Analyst describes police encounter with Michigan State University shooting suspect,77000.0,5760
White House gives latest details on mysterious objects shot down by US military,608000.0,5760
Child found alive after a week under the rubble in Turkey,77000.0,5760
What officials are saying object shot down near Lake Huron looks like,878000.0,5760
China zeroes in on 'near space' as potential next battlefield in modern warfare,411000.0,5760
North Korea parade shows off missiles and Kim Jong Un's potential successor,99000.0,5760
These newscasters you may have seen online are not real people,454000.0,5760
Trudeau says US jet shot down unidentified object over northern Canada,642000.0,5760
Hear retired officer's warning to Ukraine ahead of potential Russian offensive,228000.0,5760
Great Salt Lake’s disappearance is an ‘imminent’ crisis,155000.0,5760
Rick Scott invoked Jake Tapper 8 times in a 10-minute interview. Hear Tapper's response,431000.0,5760
Hear what convicts fighting for Russia are saying about the war,208000.0,5760
New images show FBI analyzing Chinese spy balloon,379000.0,5760
