title,views_on_vd,time_in_minutes
House GOP moves to discredit Manhattan DA ahead of potential Trump indictment,294K,4320
‘A marriage of convenience not affection’: Kirby on Putin-Xi alliance,73K,4320
A giant blob of seaweed is headed to Florida. Here’s why it's not like a red tide,56K,4320
Ex-prosecutor breaks down Trump's worst case scenarios,351K,4320
Breakdown of a Bank Collapse (and What It Means for You),32K,4320
‘Why now?:’ Legal analyst breaks down timing of Trump’s legal battles,228K,4320
Trump says he expects to be arrested,426K,4320
Why Putin's visit with China's Xi is so important,391K,4320
Haberman on how Trump team is preparing for potential indictment,189K,4320
Doctor explains 'alarming' new CDC report,308K,4320
Another recording emerges of Trump pressuring Georgia official,875K,4320
See moment Russian fighter jet confronts US drone,1.8M,4320
Russian elite piles on Putin ally leading Russian mercenary group,889K,4320
New fears among investors about banking industry,64K,4320
Hear what Russia had to say about US drone that crashed,211K,4320
Watch Sen. Graham push back on DeSantis' Ukraine comments,106K,4320
What a sniper saw fighting Russian soldiers in key city,2.3M,4320
This former GOP senator once voted to roll back bank regulations. Hear what he thinks now,48K,4320
See why tensions are rising between US and China over Taiwan,210K,4320
The Selfie Effect on Your Brain,11K,4320
Tennessee lieutenant governor apologizes for repeated online interactions with young man,60K,4320
Hear experts discuss fears of banking crisis amid two bank failures,70K,4320
Biden outlines consequences for SVB and Signature Bank executives,159K,5760
Michigan governor speaks out about being targeted by Trump,189K,5760
GOP lawmaker asked if she'll visit jailed Jan. 6 defendants with colleagues,135K,5760
Thousands protest judicial reform plan in Israel for 10th week,37K,5760
Hear Dr. Fauci's response to Covid lab leak theory,404K,5760
CEO describes pulling money from bank hours before collapse,2.3M,5760
Ex-Trump attorney censured after admitting election statements were false,175K,5760
Trump invited to testify in NY probe. Hear what his former attorney thinks,77K,5760
Russia is sending some US weapons captured in Ukraine to Iran,469K,5760
See the destruction left after massive Russian missile attack on Ukraine,137K,5760
NASA tracking asteroid that has potential to hit Earth in 2046,268K,5760
Video shows passengers getting into fistfight on plane. Hear why it started,74K,5760
Pussy Riot member describes the dangers of defying Putin,81K,5760
New messages reveal how Fox News hosts really felt about Trump and 2020 election,108K,5760
DOJ issues scathing rebuke of Louisville police in report launched after Breonna Taylor killing,43K,5760
Mexico kidnapping: Victim's mom reveals what daughter told her about killings,242K,5760
See how animal drug has impacted users in Philadelphia,356K,5760
Jake Tapper fact-checks Fox News narrative on Jan. 6 attack,227K,5760
Retired colonel analyzes power struggle between Wagner chief and Russia’s defense minister,292K,5760
Hank Green on the Future of the Internet,16K,5760
Wagner Group fighters seen planting their flag in Bakhmut,439K,5760
Hear retired admiral’s prediction for Russia’s military after prolonged battle in Bakhmut,1.3M,5760
Trump makes play to block Pence’s grand jury testimony,196K,5760
Michael Cohen doesn't think Trump will get GOP nomination. Here's why,496K,5760
Ex-CIA chief: Another Trump presidency would be ‘dangerous for the world’,178K,5760
Zakaria asks German chancellor what happens next in Putin's war with Ukraine,754K,5760
"Ex-prosecutor: Trump has a 'steep, rocky, uphill climb' in legal battle",237K,5760
"Alex Murdaugh’s son helped solve his own murder, attorney says",494K,5760
How lead prosecutor knew Alex Murdaugh was 'manufacturing an alibi',1.2M,5760
Some high-profile Republicans are skipping CPAC this year. Here's why,81K,5760
Ukraine claims to have shot down Russian fighter jet in Donetsk region,740K,5760
See why a crowd laughed at a top Russian official,1.7M,5760
See Alex Murdaugh react to verdict in double murder trial,481K,5760
Russian artillery heard almost constantly near Bakhmut,112K,5760
21-year-old model becomes double-amputee after severe illness,529K,5760
Satellite images show changes Russia are making to occupied nuclear plant,230K,5760
Jury visits scene where Maggie and Paul Murdaugh were killed,24K,5760
'Is that acceptable?': Amanpour presses Iranian FM on torture allegations,103K,5760
Drone footage shows scene at train crash that killed dozens in Greece,72K,5760
Hear what a former FOX employee has to say about the company,289K,5760
Hear what will be discussed in the House Select Committee hearing on China,21K,5760
Maher: Trumpsters and 'woke-sters' not doing this country any great favors,317K,5760
‘Right now they’re dying’: Sean Penn calls for military aid to Ukraine,256K,5760
Why tensions between Israelis and Palestinians are at a 20-year high,45K,5760
CNN analyst says this Republican is 'obviously' going to run in 2024,47K,5760
Hear what CIA director thinks about Putin,703K,5760
Hear what first amendment attorney thinks about Fox News lawsuit,588K,5760
'Shocking': Reporter says Russian losses are increasing support for Putin's war,1.1M,5760
The People Fueling Ukraine’s ‘Will to Win’,16K,5760
'Makes no sense': Ukrainian official responds to Biden,121K,5760
Ex-intel chief: Biden losing an opportunity not sending fighter jets to Ukraine,85K,5760
See how prosecutors grilled Alex Murdaugh on last day of cross-examination,37K,5760
These are the consequences for China if it provides lethal aid to Russia,837K,5760
Why US officials believe China could send 'lethal support' to Russia,107K,5760
Hear why Kevin McCarthy gave Jan. 6 security footage to Tucker Carlson,314K,5760
Putin ‘has his back against the wall’: Former NATO commander on Russia’s war with Ukraine,403K,5760
CNN reporter walks through town Russia is 'struggling' to seize,53K,5760
Surveillance video shows the timeline of Ohio toxic train derailment,512K,5760
Hear EPA leader's message to East Palestine community,20K,5760
Maggie Haberman reacts to Trump grand jury foreperson statements,260K,5760
Foreperson reacts to Trump's claim that he gets total exoneration in GA probe,275K,5760
"McCarthy gave Tucker Carlson all Jan. 6 security footage, sources say",200K,5760
Retired lt. general responds to Putin’s speech: Tropes we’ve been hearing all year long,358K,5760
Arrest made in shooting death of Catholic bishop in Los Angeles,49K,5760
'Everything is sinking': Hear Wagner leader discuss supply problems,923K,5760
A Netflix movie is getting eerie comparisons to the Ohio toxic train crash,52K,5760
Some in GOP worry DeSantis has overstepped against ‘wokeness’,297K,5760
Trump attacks DeSantis on social media,302K,5760
Retired colonel says this factor gives an advantage to Russia,148K,5760
Ohio lawmaker asked if he would drink water after toxic train derailment,44K,5760
Dr. Sanjay Gupta on Screens & Teens (Including His Own!),25K,5760
Jimmy Carter to begin receiving hospice care,333K,5760
'He could easily destroy us': See Tucker Carlson's private text about Trump,417K,5760
Doctor breaks down challenges Bruce Willis could face with diagnosis of FTD,222K,5760
Damning messages reveal Fox News' executives mocking Trump's lies,428K,5760
